,n,range,value
253,10,"(-0.000964, 0.333]",0.023254482996341398
254,10,"(0.665, 0.998]",0.26338817302787043
255,10,"(0.665, 0.998]",0.2648154732800228
256,10,"(0.665, 0.998]",0.26852168117578534
257,10,"(0.665, 0.998]",0.2352116430093859
258,10,"(0.665, 0.998]",0.11945264405673948
259,10,"(-0.000964, 0.333]",0.17095648398416655
260,10,"(-0.000964, 0.333]",0.055046528654082216
261,10,"(-0.000964, 0.333]",0.05504652865408261
262,10,"(0.665, 0.998]",0.00036587863478045084
263,10,"(0.665, 0.998]",0.0003615024785828724
264,10,"(0.665, 0.998]",3.7457573564919725e-05
265,10,"(-0.000964, 0.333]",6.912606978943268e-05
266,10,"(-0.000964, 0.333]",0.006984332089574737
267,10,"(-0.000964, 0.333]",0.0051760507642650885
268,10,"(-0.000964, 0.333]",0.0014274369620323783
269,10,"(-0.000964, 0.333]",0.0013208227507588435
270,10,"(-0.000964, 0.333]",0.36911321265201846
271,10,"(-0.000964, 0.333]",0.29533775890062386
272,10,"(-0.000964, 0.333]",0.2420165609120233
273,10,"(0.333, 0.665]",0.3050556014326384
274,10,"(-0.000964, 0.333]",0.11052820570816413
275,10,"(-0.000964, 0.333]",0.13135273935210148
276,10,"(-0.000964, 0.333]",0.15986412348004583
277,10,"(-0.000964, 0.333]",0.1652587703846768
278,10,"(0.665, 0.998]",0.2559158613871452
279,10,"(0.333, 0.665]",0.0058683246041344945
280,10,"(0.665, 0.998]",0.0002590350767320925
281,10,"(0.665, 0.998]",0.05452325189138094
282,10,"(0.665, 0.998]",0.18073341896448045
283,10,"(0.333, 0.665]",0.027868859532796546
284,10,"(0.333, 0.665]",0.058403694759445554
285,10,"(0.333, 0.665]",0.058231442812744484
286,10,"(0.333, 0.665]",0.03673761195677328
287,10,"(0.333, 0.665]",0.30822691066951835
288,10,"(0.333, 0.665]",0.23665414544881555
289,10,"(-0.000964, 0.333]",0.20111036734346657
290,10,"(-0.000964, 0.333]",0.05548480905959873
291,10,"(-0.000964, 0.333]",0.250098142850166
292,10,"(-0.000964, 0.333]",0.168284745940984
293,10,"(-0.000964, 0.333]",0.22177240386083125
294,10,"(0.665, 0.998]",0.0510158674761292
295,10,"(0.665, 0.998]",0.004716129799547904
296,10,"(0.665, 0.998]",0.007013619575668479
297,10,"(0.665, 0.998]",0.2686408846215776
298,10,"(-0.000964, 0.333]",0.04215054277493787
299,10,"(-0.000964, 0.333]",0.04380352645183501
300,10,"(-0.000964, 0.333]",0.062918524894684
301,10,"(-0.000964, 0.333]",0.10837113369102519
302,10,"(0.665, 0.998]",0.21196338379521582
303,10,"(0.333, 0.665]",0.06151534994381793
304,10,"(-0.000964, 0.333]",0.3562840621144852
305,10,"(-0.000964, 0.333]",0.2008018287295198
306,10,"(-0.000964, 0.333]",0.2054250148691039
307,10,"(-0.000964, 0.333]",0.22151856995105934
308,10,"(-0.000964, 0.333]",0.2562852856439644
309,10,"(-0.000964, 0.333]",0.26013499891311936
310,10,"(0.665, 0.998]",0.5501941735230039
311,10,"(0.665, 0.998]",0.34515293723932056
312,10,"(0.665, 0.998]",0.19167604560556428
313,10,"(0.665, 0.998]",0.21269115153586313
314,10,"(-0.000964, 0.333]",0.26170136190346494
315,10,"(-0.000964, 0.333]",0.03525195951587192
316,10,"(-0.000964, 0.333]",0.016374877436400707
317,10,"(-0.000964, 0.333]",0.01662381493684431
318,10,"(-0.000964, 0.333]",0.45633367548569514
319,10,"(-0.000964, 0.333]",0.41688255592884244
320,10,"(-0.000964, 0.333]",0.23034586244289076
321,10,"(-0.000964, 0.333]",0.020501270663007214
322,10,"(-0.000964, 0.333]",0.14997204884390525
323,10,"(-0.000964, 0.333]",0.1522956650777452
324,10,"(-0.000964, 0.333]",0.15938554051403983
325,10,"(-0.000964, 0.333]",0.15093286987493348
326,10,"(-0.000964, 0.333]",0.5112074241828638
327,10,"(-0.000964, 0.333]",0.35601922581264833
328,10,"(-0.000964, 0.333]",0.10483280404344718
329,10,"(-0.000964, 0.333]",0.1837017768387843
330,10,"(-0.000964, 0.333]",0.01891527284593262
331,10,"(-0.000964, 0.333]",0.01987207275810874
332,10,"(-0.000964, 0.333]",0.019683886459275993
333,10,"(-0.000964, 0.333]",0.019690418593288336
334,10,"(-0.000964, 0.333]",0.16661779109218133
335,10,"(-0.000964, 0.333]",0.18973782171998924
336,10,"(-0.000964, 0.333]",0.2882577255151431
337,10,"(-0.000964, 0.333]",0.10787761416204616
338,10,"(-0.000964, 0.333]",0.10261653621221052
339,10,"(-0.000964, 0.333]",0.11737946511441799
340,10,"(-0.000964, 0.333]",0.11620751305578055
341,10,"(-0.000964, 0.333]",0.11320354575317206
342,10,"(0.665, 0.998]",0.20392989889130847
343,10,"(0.333, 0.665]",0.2640463571028425
344,10,"(-0.000964, 0.333]",0.2337540315475941
345,10,"(-0.000964, 0.333]",0.002677658864679892
346,10,"(-0.000964, 0.333]",0.0
347,10,"(-0.000964, 0.333]",0.0
348,10,"(-0.000964, 0.333]",0.0
349,10,"(-0.000964, 0.333]",0.0
350,10,"(0.665, 0.998]",0.3755274009316078
351,10,"(0.665, 0.998]",0.41141428623925647
352,10,"(-0.000964, 0.333]",0.09395192337972509
353,10,"(-0.000964, 0.333]",0.06988177091951463
354,10,"(-0.000964, 0.333]",0.07403179608991514
355,10,"(-0.000964, 0.333]",0.03638641040587034
356,10,"(-0.000964, 0.333]",0.05124935482699815
357,10,"(-0.000964, 0.333]",0.05414212627319794
358,10,"(0.333, 0.665]",0.4190686805154107
359,10,"(0.333, 0.665]",0.40359221139104917
360,10,"(0.333, 0.665]",0.48070019846688283
361,10,"(-0.000964, 0.333]",0.11387951243752427
362,10,"(-0.000964, 0.333]",0.07906873548972095
363,10,"(-0.000964, 0.333]",0.03278320630027729
364,10,"(-0.000964, 0.333]",0.009576420836839293
365,10,"(-0.000964, 0.333]",0.014265577721552835
366,10,"(0.665, 0.998]",0.3711884357662991
367,10,"(0.665, 0.998]",0.3521897412984585
368,10,"(0.665, 0.998]",0.5940832936265207
369,10,"(0.333, 0.665]",0.089556589890687
370,10,"(-0.000964, 0.333]",0.006085743985948457
371,10,"(-0.000964, 0.333]",0.007601503561717876
372,10,"(-0.000964, 0.333]",0.0
373,10,"(-0.000964, 0.333]",0.0
374,10,"(0.665, 0.998]",0.003088053663147206
375,10,"(0.665, 0.998]",0.003088053663147206
376,10,"(0.665, 0.998]",0.009723761365819483
377,10,"(0.665, 0.998]",0.015186408021071953
378,10,"(0.333, 0.665]",0.008901266983776768
379,10,"(0.333, 0.665]",0.020163566117647008
380,10,"(0.333, 0.665]",0.021303414194613682
381,10,"(0.333, 0.665]",0.021770408662303318
382,10,"(0.333, 0.665]",0.07164328851075966
383,10,"(0.333, 0.665]",0.07041109297280426
384,10,"(0.333, 0.665]",0.07787902405269462
385,10,"(0.333, 0.665]",0.0773983100135333
386,10,"(0.333, 0.665]",0.11169278984542728
387,10,"(0.333, 0.665]",0.11085952239896571
388,10,"(0.333, 0.665]",0.11805311136731443
389,10,"(0.333, 0.665]",0.12111179426762698
390,10,"(0.665, 0.998]",0.10971391770327582
391,10,"(0.665, 0.998]",0.07269287560479766
392,10,"(-0.000964, 0.333]",0.12429217384563244
393,10,"(-0.000964, 0.333]",0.14128129086215388
394,10,"(-0.000964, 0.333]",0.053000525045677746
395,10,"(-0.000964, 0.333]",0.17082207253279558
396,10,"(-0.000964, 0.333]",0.21275414364209252
397,10,"(-0.000964, 0.333]",0.1999646558304061
398,10,"(0.333, 0.665]",0.026091066650556424
399,10,"(0.333, 0.665]",0.33105217129264725
400,10,"(-0.000964, 0.333]",0.23741061943079556
401,10,"(-0.000964, 0.333]",0.14338483826327558
402,10,"(-0.000964, 0.333]",0.3924657213747915
403,10,"(-0.000964, 0.333]",0.4353824329560133
404,10,"(-0.000964, 0.333]",0.45896900594389406
405,10,"(-0.000964, 0.333]",0.5055868555983597
406,10,"(0.665, 0.998]",0.0
407,10,"(0.665, 0.998]",0.007011215602508415
408,10,"(0.665, 0.998]",1.741417795231643e-08
409,10,"(-0.000964, 0.333]",0.0012359894057143593
410,10,"(-0.000964, 0.333]",0.053100587519140034
411,10,"(-0.000964, 0.333]",0.053100587519140034
412,10,"(-0.000964, 0.333]",0.052594447148612805
413,10,"(-0.000964, 0.333]",0.052594447148612805
414,10,"(0.665, 0.998]",0.11399769870730292
415,10,"(0.333, 0.665]",0.04483056469219025
416,10,"(0.333, 0.665]",0.1530966322147696
417,10,"(0.333, 0.665]",0.08245471497350813
418,10,"(0.333, 0.665]",0.20899140901569116
419,10,"(0.333, 0.665]",0.14027062900165121
420,10,"(0.333, 0.665]",0.11812390013226513
421,10,"(-0.000964, 0.333]",0.07199846995081037
422,10,"(0.665, 0.998]",0.32587614849162416
423,10,"(0.665, 0.998]",0.307377428342585
424,10,"(0.333, 0.665]",0.17402741561032917
425,10,"(0.665, 0.998]",0.044958795177705235
426,10,"(0.333, 0.665]",0.2611775914614593
427,10,"(0.333, 0.665]",0.1344217340671475
428,10,"(-0.000964, 0.333]",0.16713554084993215
429,10,"(-0.000964, 0.333]",0.08758009898601367
430,10,"(0.665, 0.998]",0.12514354843009387
431,10,"(0.665, 0.998]",0.05684297631632947
432,10,"(0.665, 0.998]",0.06837269038563236
433,10,"(0.333, 0.665]",0.08001029519560582
434,10,"(-0.000964, 0.333]",0.0175502184274641
435,10,"(-0.000964, 0.333]",0.0874587977554234
436,10,"(-0.000964, 0.333]",0.007897465320038344
437,10,"(-0.000964, 0.333]",0.011459469954757006
438,10,"(0.665, 0.998]",0.5690479269157511
439,10,"(0.333, 0.665]",0.4470169370546382
440,10,"(0.333, 0.665]",0.39683642740502445
441,10,"(0.333, 0.665]",0.29428811341004424
442,10,"(0.333, 0.665]",0.15492766333281088
443,10,"(0.333, 0.665]",0.15731520897295737
