,ps1_disc,error_diff
388,"(1e-06, 0.201]",0.47074170409451666
389,"(1e-06, 0.201]",0.4659989061929063
390,"(0.401, 0.6]",0.4746790958382677
391,"(0.401, 0.6]",0.45336579614173433
392,"(0.6, 0.8]",0.45171373697755124
393,"(0.6, 0.8]",0.3702936358181484
394,"(0.8, 1.0]",0.0704439540067769
399,"(1e-06, 0.201]",0.7041072966048162
400,"(1e-06, 0.201]",0.7041943262164018
401,"(1e-06, 0.201]",0.7046368449437914
402,"(0.401, 0.6]",0.44014997796339017
403,"(0.8, 1.0]",0.511796357297423
404,"(0.8, 1.0]",0.43187940811253667
405,"(0.8, 1.0]",5.654501687892274e-05
421,"(1e-06, 0.201]",1.2954499282765612
422,"(0.201, 0.401]",1.289131007530227
423,"(0.201, 0.401]",1.0804520162084463
424,"(0.6, 0.8]",0.6730257612634907
425,"(0.6, 0.8]",1.2553932580173535
426,"(0.6, 0.8]",0.794675580514297
427,"(0.8, 1.0]",0.09413123388458301
432,"(1e-06, 0.201]",0.3318048092000417
433,"(1e-06, 0.201]",0.26345226368352836
434,"(1e-06, 0.201]",0.2641665080763179
435,"(1e-06, 0.201]",0.31866284850075927
436,"(0.401, 0.6]",0.308557319435275
437,"(0.6, 0.8]",0.0070654869238468004
438,"(0.8, 1.0]",0.0003382642563867836
443,"(1e-06, 0.201]",0.5229713822976841
444,"(0.201, 0.401]",0.5304475344356003
445,"(0.201, 0.401]",0.4874610443949576
446,"(0.401, 0.6]",0.5501272997651847
447,"(0.401, 0.6]",0.5063319475068787
448,"(0.6, 0.8]",0.47558668944087557
449,"(0.8, 1.0]",0.26364462299980085
465,"(1e-06, 0.201]",0.6578070832799541
466,"(1e-06, 0.201]",0.6600695368489149
467,"(1e-06, 0.201]",0.6597817291384165
468,"(1e-06, 0.201]",0.6774934764551342
469,"(0.8, 1.0]",0.10102553576501383
470,"(0.8, 1.0]",0.05867576135906143
471,"(0.8, 1.0]",0.059262584174084684
487,"(1e-06, 0.201]",0.5696187317076096
488,"(0.201, 0.401]",0.5042278882631729
489,"(0.201, 0.401]",0.103983978125281
490,"(0.401, 0.6]",0.14789229447662752
491,"(0.401, 0.6]",0.21152802947403465
492,"(0.8, 1.0]",0.2078268609709704
493,"(0.8, 1.0]",0.12932320993625548
498,"(1e-06, 0.201]",0.46109578620113284
499,"(1e-06, 0.201]",0.4631231532444478
500,"(1e-06, 0.201]",0.4761218497228782
501,"(1e-06, 0.201]",0.4819768620173081
502,"(0.201, 0.401]",0.5031532784898634
503,"(0.401, 0.6]",0.009227926324575877
504,"(0.8, 1.0]",0.02393684680209175
509,"(1e-06, 0.201]",0.3127612143653334
510,"(0.201, 0.401]",0.3118153406030259
511,"(0.401, 0.6]",0.2878319330826116
512,"(0.401, 0.6]",0.18634395744105708
513,"(0.6, 0.8]",0.08047060964335051
514,"(0.6, 0.8]",0.06769762003097124
515,"(0.8, 1.0]",0.07136516301304824
531,"(0.201, 0.401]",0.7064062725384573
532,"(0.201, 0.401]",0.7063893812596842
533,"(0.401, 0.6]",0.6968625869328791
534,"(0.8, 1.0]",0.6468090596625468
535,"(0.8, 1.0]",0.2348387921134281
536,"(0.8, 1.0]",0.23418348424892402
537,"(0.8, 1.0]",0.23315319269481138
553,"(0.201, 0.401]",0.1473363951187002
554,"(0.201, 0.401]",0.46599041951377945
555,"(0.401, 0.6]",0.4432466794966582
556,"(0.6, 0.8]",0.4762103480491626
557,"(0.6, 0.8]",0.5174615911462548
558,"(0.8, 1.0]",0.454448357890888
559,"(0.8, 1.0]",0.44003628582911913
575,"(1e-06, 0.201]",0.6780098429420778
576,"(0.401, 0.6]",0.6486866784566745
577,"(0.6, 0.8]",0.6313437843525941
578,"(0.6, 0.8]",0.33121392327485666
579,"(0.6, 0.8]",0.314892385939917
580,"(0.6, 0.8]",0.2928438504165783
581,"(0.8, 1.0]",0.0066621192390969985
586,"(1e-06, 0.201]",0.5617365381585073
587,"(1e-06, 0.201]",0.5631121187000995
588,"(1e-06, 0.201]",0.17502674094056217
589,"(0.6, 0.8]",0.1566128134146773
590,"(0.6, 0.8]",0.15998584083432066
591,"(0.6, 0.8]",0.02997206002549214
592,"(0.8, 1.0]",0.009109615354034008
630,"(1e-06, 0.201]",0.5441809834423972
631,"(1e-06, 0.201]",0.5354449633167555
632,"(1e-06, 0.201]",0.47476053955932046
633,"(1e-06, 0.201]",0.40565031339340335
634,"(0.201, 0.401]",0.449707405456374
635,"(0.6, 0.8]",0.37336195320469817
636,"(0.6, 0.8]",0.05888558076903459
652,"(1e-06, 0.201]",0.6129456689589292
653,"(1e-06, 0.201]",0.6126719661463746
654,"(1e-06, 0.201]",0.6140579596783788
655,"(1e-06, 0.201]",0.5758991536722367
656,"(0.8, 1.0]",0.04185765876598192
657,"(0.8, 1.0]",0.033518661457597125
658,"(0.8, 1.0]",0.037764419968960516
685,"(1e-06, 0.201]",0.39002947901643875
686,"(1e-06, 0.201]",0.39002947901643875
687,"(0.201, 0.401]",0.403217596545481
688,"(0.201, 0.401]",0.40328051510274915
689,"(0.401, 0.6]",0.33366815965690405
690,"(0.401, 0.6]",0.37408535174517055
691,"(0.6, 0.8]",0.27684255889797865
707,"(0.201, 0.401]",0.045804090735531815
708,"(0.8, 1.0]",0.06731323667455327
709,"(0.8, 1.0]",0.056025818268369346
710,"(0.8, 1.0]",0.04898615305944256
711,"(0.8, 1.0]",0.008124501057159294
712,"(0.8, 1.0]",0.0570861175158823
713,"(0.8, 1.0]",0.01875512864385712
718,"(1e-06, 0.201]",0.5718784943227431
719,"(1e-06, 0.201]",0.567213085285387
720,"(0.201, 0.401]",0.5223973069404089
721,"(0.401, 0.6]",0.5307471159929094
722,"(0.401, 0.6]",0.46014873995606337
723,"(0.6, 0.8]",0.15963310635827266
724,"(0.6, 0.8]",0.052159560600785
740,"(1e-06, 0.201]",0.4255126889610768
741,"(1e-06, 0.201]",0.41865122796544446
742,"(1e-06, 0.201]",0.2660649113394691
743,"(0.201, 0.401]",0.26740439981431313
744,"(0.401, 0.6]",0.023712704745356566
745,"(0.6, 0.8]",0.02450928280849827
746,"(0.6, 0.8]",0.017521558747145418
751,"(1e-06, 0.201]",0.7025808097583782
752,"(1e-06, 0.201]",0.7025105482520079
753,"(1e-06, 0.201]",0.7026399388717992
754,"(0.201, 0.401]",0.6785467968531377
755,"(0.8, 1.0]",0.05410487375701373
756,"(0.8, 1.0]",0.05410487375701373
757,"(0.8, 1.0]",0.014490633448869594
762,"(1e-06, 0.201]",0.23978659704847574
763,"(0.401, 0.6]",0.10519454678565923
764,"(0.401, 0.6]",0.1630486363132082
765,"(0.401, 0.6]",0.15065126382198007
766,"(0.401, 0.6]",0.10073517585720074
767,"(0.401, 0.6]",0.14620098759898578
768,"(0.8, 1.0]",0.08565097008352002
784,"(1e-06, 0.201]",0.3943220877710616
785,"(1e-06, 0.201]",0.3749686445865296
786,"(0.201, 0.401]",0.33069381368002276
787,"(0.201, 0.401]",0.3776513571400841
788,"(0.401, 0.6]",0.3180922963584082
789,"(0.6, 0.8]",0.3294423143816504
790,"(0.6, 0.8]",0.03006624883514704
795,"(1e-06, 0.201]",0.5472256524549552
796,"(1e-06, 0.201]",0.5639047123130662
797,"(0.201, 0.401]",0.5875396896004967
798,"(0.6, 0.8]",0.5438512620970766
799,"(0.6, 0.8]",0.083372455574278
800,"(0.6, 0.8]",0.04914970578362175
801,"(0.8, 1.0]",0.13934386787048766
806,"(1e-06, 0.201]",0.22169784501005574
807,"(0.401, 0.6]",0.15616673326562197
808,"(0.6, 0.8]",0.11952591182120029
809,"(0.6, 0.8]",0.1101464178976976
810,"(0.8, 1.0]",0.07826030451753815
811,"(0.8, 1.0]",0.07702909758542632
812,"(0.8, 1.0]",0.06795496106584281
828,"(1e-06, 0.201]",0.5482852536282996
829,"(1e-06, 0.201]",0.5825266376019164
830,"(0.401, 0.6]",0.627516741159689
831,"(0.401, 0.6]",0.6314762939081379
832,"(0.401, 0.6]",0.6284189628755081
833,"(0.6, 0.8]",0.5062301540922471
834,"(0.8, 1.0]",0.3630220465991585
850,"(1e-06, 0.201]",0.5509869076863458
851,"(1e-06, 0.201]",0.30719814205417223
852,"(1e-06, 0.201]",0.23797105663472437
853,"(1e-06, 0.201]",0.09861061186906836
854,"(0.201, 0.401]",0.02719304437621359
855,"(0.201, 0.401]",0.02945424808885334
856,"(0.401, 0.6]",0.030483334562657845
861,"(1e-06, 0.201]",0.411589287689032
862,"(1e-06, 0.201]",0.3916053398624029
863,"(0.201, 0.401]",0.3761795483181083
864,"(0.201, 0.401]",0.48396491778852946
865,"(0.201, 0.401]",0.538459847419674
866,"(0.6, 0.8]",0.39381342246222495
867,"(0.8, 1.0]",0.05305530668632263
872,"(1e-06, 0.201]",0.31713329124075224
873,"(0.401, 0.6]",0.3225614237230618
874,"(0.401, 0.6]",0.3351538492867141
875,"(0.401, 0.6]",0.3095197335198483
876,"(0.401, 0.6]",0.3094115789091472
877,"(0.401, 0.6]",0.31467767454120654
878,"(0.8, 1.0]",0.3154887359897549
883,"(0.401, 0.6]",0.4237134075061495
884,"(0.6, 0.8]",0.39541607104672366
