,N,dovar,obsvar,target,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
46,21,0,-1,,4936,6,CVE,,,,,,
47,21,0,-1,,4936,6,CCALPeps,7595.8602,7589.4886,0.11697838144842802,0.11697905143335527,0.08302094856664473,0.08302161855157196
48,21,0,-1,,6170,6,CVE,,,,,,
49,21,0,-1,,6170,6,CCALPeps,8266.6968,8259.696,0.03780681119373953,0.03780740175632834,0.16219259824367166,0.1621931888062605
50,21,0,-1,,7404,6,CVE,,,,,,
51,21,0,-1,,7404,6,CCALPeps,8727.782,8720.9162,0.16052789303787496,0.16052809066245302,0.03947190933754698,0.039472106962125046
52,21,0,-1,,8638,6,CVE,,,,,,
53,21,0,-1,,8638,6,CCALPeps,8008.2166,8001.957800000001,0.1703390714096722,0.17033946307941278,0.029660536920587233,0.0296609285903278
54,21,0,-1,,9872,6,CVE,,,,,,
55,21,0,-1,,9872,6,CCALPeps,7308.2952000000005,7301.7116000000005,0.15686706665235406,0.15686706666597444,0.04313293333402557,0.04313293334764592
56,21,0,-1,,11106,6,CVE,,,,,,
57,21,0,-1,,11106,6,CCALPeps,7105.9400000000005,7098.642,0.02324087905406809,0.023365219881229686,0.17663478011877032,0.1767591209459319
58,21,0,-1,,12340,6,CVE,,,,,,
59,21,0,-1,,12340,6,CCALPeps,9067.9646,9060.4956,0.09439401698986363,0.09439768780270694,0.10560231219729306,0.10560598301013638
60,21,0,-1,1,1234,6,CVE,,,,,,
61,21,0,-1,1,1234,6,CCALPeps,7301.032399999999,7293.3516,0.030028002567050717,0.030030993669778173,0.16996900633022183,0.16997199743294927
62,21,0,-1,1,2468,6,CVE,,,,,,
63,21,0,-1,1,2468,6,CCALPeps,7280.614600000001,7274.383600000001,0.1779692081184842,0.1779767998406639,0.02202320015933612,0.022030791881515795
64,21,0,-1,1,3702,6,CVE,,,,,,
65,21,0,-1,1,3702,6,CCALPeps,7857.0728,7850.2076,0.0020781804631255438,0.19594001415776832,0.004059985842231692,0.19792181953687446
66,21,0,-1,1,4936,6,CVE,,,,,,
67,21,0,-1,1,4936,6,CCALPeps,8170.008,8163.5484,0.022016000319576054,0.022030192061485796,0.1779698079385142,0.17798399968042394
68,21,0,-1,1,6170,6,CVE,,,,,,
69,21,0,-1,1,6170,6,CCALPeps,7402.662999999999,7395.2339999999995,0.024012801218670807,0.02401519450059219,0.17598480549940781,0.1759871987813292
70,21,0,-1,1,7404,6,CVE,,,,,,
