,N,dovar,obsvar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
199,6,0,-1,8638,6,CCVE,92.0402,10.8748,0.0506967174787244,0.0506967174787244,0.1493032825212756,0.1493032825212756
200,6,0,-1,8638,6,CCALPeps,844.9548000000003,841.7585999999999,0.050711105284159376,0.050716769574800466,0.14928323042519953,0.1492888947158406
201,6,0,-1,9872,6,CVE,3.5394,2.9542,0.02568,0.02568,0.17432,0.17432
202,6,0,-1,9872,6,CCVE,98.05079999999998,14.183800000000002,0.02294,0.032060000000000005,0.16793999999999998,0.17706
203,6,0,-1,9872,6,CCALPeps,773.3034,769.8209999999997,0.02487733425952974,0.030189833674641776,0.16981016632535822,0.17512266574047025
204,6,0,-1,11106,6,CVE,3.5752,3.0622,0.037881182488594935,0.037881182488594935,0.16211881751140506,0.16211881751140506
205,6,0,-1,11106,6,CCVE,123.9614,37.5358,0.033427252562795995,0.07170730519085086,0.12829269480914912,0.16657274743720402
206,6,0,-1,11106,6,CCALPeps,952.2728,948.5582,0.03759943998793765,0.06584967586847555,0.13415032413152445,0.16240056001206232
207,6,0,-1,12340,6,CVE,3.2478,2.7960000000000003,0.13504250305355753,0.13504250305355753,0.06495749694644246,0.06495749694644246
208,6,0,-1,12340,6,CCVE,141.67739999999995,48.61880000000001,0.10400411936346024,0.14988244029204306,0.050117559707956935,0.09599588063653973
209,6,0,-1,12340,6,CCALPeps,904.5316,900.5477999999997,0.10402094483005304,0.1498244173704478,0.050175582629552205,0.09597905516994697
240,7,0,-1,1234,6,CVE,4.5452,4.0266,0.007571489656206056,0.007571489656206056,0.192428510343794,0.192428510343794
241,7,0,-1,1234,6,CCVE,139.1036,27.7058,0.007571489656206055,0.007571489656206055,0.192428510343794,0.192428510343794
242,7,0,-1,1234,6,CCALPeps,1223.7756,1219.7546,0.00759186316630538,0.007601630055836777,0.1923983699441632,0.19240813683369465
243,7,0,-1,2468,6,CVE,4.8896,4.3908000000000005,0.1438796057352182,0.1438796057352182,0.05612039426478177,0.05612039426478177
244,7,0,-1,2468,6,CCVE,139.0274,27.1176,0.14387960573521824,0.14387960573521824,0.05612039426478177,0.05612039426478177
245,7,0,-1,2468,6,CCALPeps,1568.879,1564.9128,0.1438405110775353,0.14384476511559002,0.05615523488440997,0.056159488922464716
246,7,0,-1,3702,6,CVE,4.8026,4.2276,0.15918692706257473,0.15918692706257473,0.04081307293742527,0.04081307293742527
247,7,0,-1,3702,6,CCVE,inf,inf,,,,
248,7,0,-1,3702,6,CCALPeps,1339.5622,1335.795,0.15540420821787113,0.1593197036770413,0.04068029632295871,0.04459579178212887
249,7,0,-1,4936,6,CVE,4.2934,3.8324,0.19246186569505397,0.19246186569505397,0.007538134304946041,0.007538134304946041
250,7,0,-1,4936,6,CCVE,154.88240000000005,28.2468,0.19246186569505394,0.19246186569505394,0.007538134304946045,0.007538134304946045
251,7,0,-1,4936,6,CCALPeps,1290.9028,1286.9096,0.19242629773487294,0.19243113989785168,0.0075688601021483785,0.00757370226512703
252,7,0,-1,6170,6,CVE,4.84,4.2858,0.13472,0.13472,0.06527999999999999,0.06527999999999999
253,7,0,-1,6170,6,CCVE,138.215,26.3692,0.13471999999999998,0.13471999999999998,0.06528000000000002,0.06528000000000002
254,7,0,-1,6170,6,CCALPeps,1308.7572,1304.6774,0.1347126987791268,0.13472156217168016,0.06527843782831984,0.06528730122087319
255,7,0,-1,7404,6,CVE,4.6508,4.0708,0.19927058778969253,0.19927058778969253,0.0007294122103074653,0.0007294122103074653
256,7,0,-1,7404,6,CCVE,,,,,,
257,7,0,-1,7404,6,CCALPeps,1337.8239999999996,1333.8560000000002,0.19631157484557665,0.1999473740335014,5.262596649859841e-05,0.00368842515442338
258,7,0,-1,8638,6,CVE,4.2558,3.7652,0.06989264449295733,0.06989264449295733,0.13010735550704264,0.13010735550704264
259,7,0,-1,8638,6,CCVE,137.0106,26.3192,0.06989264449295733,0.06989264449295733,0.13010735550704264,0.13010735550704264
260,7,0,-1,8638,6,CCALPeps,1337.5621999999996,1333.6382,0.06989773434745274,0.06990025984746204,0.13009974015253795,0.1301022656525473
261,7,0,-1,9872,6,CVE,4.9906,4.410400000000001,0.02568,0.02568,0.17432,0.17432
262,7,0,-1,9872,6,CCVE,338.6556,239.407,0.022940000000000002,0.032060000000000005,0.16794,0.17706
263,7,0,-1,9872,6,CCALPeps,1195.2096,1191.4444,0.02487733425952974,0.030189833674641776,0.16981016632535822,0.17512266574047025
264,7,0,-1,11106,6,CVE,5.0004,4.4262,0.04377274367000753,0.04377274367000753,0.1562272563299925,0.1562272563299925
265,7,0,-1,11106,6,CCVE,14079.2896,13978.9568,0.03879185714843903,0.08025540124638261,0.1197445987536174,0.161208142851561
266,7,0,-1,11106,6,CCALPeps,1497.1727999999994,1492.6629999999998,0.04346119631053902,0.07410593422444005,0.12589406577555995,0.156538803689461
267,7,0,-1,12340,6,CVE,4.7136,4.1208,0.1353079251802058,0.1353079251802058,0.06469207481979422,0.06469207481979422
268,7,0,-1,12340,6,CCVE,2634.975,2523.3908,0.10430649623029448,0.15010962707972791,0.04989037292027208,0.0956935037697055
269,7,0,-1,12340,6,CCALPeps,1572.3975999999998,1568.5379999999998,0.10432367157752437,0.15005200594354912,0.049947994056450895,0.0956763284224756
300,8,0,-1,1234,6,CVE,4.3198,3.7928000000000006,0.12562995276505035,0.12562995276505035,0.0743700472349496,0.0743700472349496
