,N,dovar,obsvar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
328,8,0,-1,12340,6,CCVE,3363.7296,3155.6216,0.1906000944837216,0.1906000944837216,0.009399905516278412,0.009399905516278412
329,8,0,-1,12340,6,CCALPeps,2447.9026,2443.9074,0.19057385949883454,0.1905738594988346,0.00942614050116542,0.009426140501165437
360,9,0,-1,1234,6,CVE,248.245,247.63720000000004,0.06820717599320465,0.06820717599320465,0.13179282400679532,0.13179282400679532
361,9,0,-1,1234,6,CCVE,18173.9362,17975.1914,0.06820717599320464,0.06820717599320464,0.13179282400679534,0.13179282400679534
362,9,0,-1,1234,6,CCALPeps,2473.9372000000008,2469.8536,0.06821312686767184,0.06821312686767192,0.13178687313232804,0.13178687313232818
363,9,0,-1,2468,6,CVE,266.23580000000004,265.6234,0.15325703929750273,0.15325703929750273,0.046742960702497297,0.046742960702497297
364,9,0,-1,2468,6,CCVE,15682.092,15498.8674,0.15325703929750273,0.15325703929750273,0.04674296070249728,0.04674296070249728
365,9,0,-1,2468,6,CCALPeps,2674.7254000000007,2670.435,0.15325070498339413,0.1532507049833942,0.04674929501660581,0.046749295016605866
366,9,0,-1,3702,6,CVE,273.9562,273.3646,0.1788380521790344,0.1788380521790344,0.02116194782096561,0.02116194782096561
367,9,0,-1,3702,6,CCVE,14058.4768,13822.4042,0.1788380521790344,0.1788380521790344,0.0211619478209656,0.0211619478209656
368,9,0,-1,3702,6,CCALPeps,2697.4446,2692.9744,0.17882179552496158,0.17882179552496166,0.02117820447503836,0.021178204475038417
369,9,0,-1,4936,6,CVE,259.46400000000006,258.84540000000004,0.09806448182213162,0.09806448182213162,0.1019355181778684,0.1019355181778684
370,9,0,-1,4936,6,CCVE,16676.995600000002,16470.85,0.09806448182213164,0.09806448182213164,0.10193551817786836,0.10193551817786836
371,9,0,-1,4936,6,CCALPeps,2601.4214,2597.2264000000005,0.09806377126374098,0.09806377126374108,0.10193622873625892,0.10193622873625904
372,9,0,-1,6170,6,CVE,250.93920000000003,250.3416,0.08629159811050614,0.08629159811050614,0.11370840188949385,0.11370840188949385
373,9,0,-1,6170,6,CCVE,20009.988,19784.6682,0.08629159811050616,0.08629159811050616,0.11370840188949385,0.11370840188949385
