,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
54,5,0,-1,11106,CVE,3.3920000000000003,2.9433999999999996,0.1132080745031625,0.1132080745031625,0.056817644925486854,0.056817644925486854,0.02997428057135062,0.02997428057135062
55,5,0,-1,11106,CCVE,39637.3986,39575.00600000001,0.10963961460070411,0.13481943039603017,0.032737147936186727,0.059580526333255904,0.0296183064665555,0.03376600491293116
56,5,0,-1,11106,CCALPeps,1554.3656,1551.2282,0.11133801073827479,0.132923350739991,0.03331533347767044,0.059036533655524304,0.029625455606200852,0.03376131578233868
57,5,0,-1,12340,CVE,3.275,2.8492,0.07465280754393486,0.07465280754393486,0.11310544363480497,0.11310544363480497,0.01224174882126018,0.01224174882126018
58,5,0,-1,12340,CCVE,inf,inf,,,,,,
59,5,0,-1,12340,CCALPeps,1685.0746,1681.2274000000002,0.0674225269074942,0.09540333191031489,0.0835549709459669,0.12337732533862411,0.009200147753881668,0.02104169714371823
60,7,0,-1,1234,CVE,4.6206,3.9976,0.026600000000000002,0.026600000000000002,0.17340000000000003,0.17340000000000003,,
61,7,0,-1,1234,CCVE,131.0282,30.054199999999998,0.02656,0.02776,0.17224,0.17343999999999998,,
62,7,0,-1,1234,CCALPeps,2232.2924,2228.3066000000003,0.026590939961404873,0.027788781340845902,0.1722112186591541,0.17340906003859513,,
63,7,0,-1,2468,CVE,4.3758,3.853,0.10476885529547338,0.10476885529547338,0.09523114470452662,0.09523114470452662,,
64,7,0,-1,2468,CCVE,137.794,32.0186,0.10476885529547339,0.10476885529547339,0.0952311447045266,0.0952311447045266,,
65,7,0,-1,2468,CCALPeps,1992.578,1988.7102000000002,0.10477745845585404,0.10480758994191319,0.09519241005808682,0.09522254154414596,,
66,7,0,-1,3702,CVE,4.7028,4.0864,0.01913277898551237,0.01913277898551237,0.18086722101448766,0.18086722101448766,,
67,7,0,-1,3702,CCVE,127.11659999999999,23.272,0.01913277898551237,0.01913277898551237,0.18086722101448766,0.18086722101448766,,
68,7,0,-1,3702,CCALPeps,1972.6046,1968.7779999999998,0.019195267111297536,0.01920334211716657,0.18079665788283344,0.18080473288870247,,
69,7,0,-1,4936,CVE,4.8187999999999995,4.2404,0.006870178016766308,0.006870178016766308,0.1931298219832337,0.1931298219832337,,
70,7,0,-1,4936,CCVE,127.94740000000002,30.145,0.006870178016766308,0.006870178016766308,0.1931298219832337,0.1931298219832337,,
71,7,0,-1,4936,CCALPeps,2305.7646,2301.8204,0.006917528339442607,0.006926334279278551,0.19307366572072143,0.1930824716605574,,
72,7,0,-1,6170,CVE,4.485799999999999,3.9093999999999993,0.05085107760015534,0.05085107760015534,0.14914892239984467,0.14914892239984467,,
73,7,0,-1,6170,CCVE,130.8384,30.3046,0.05085107760015534,0.05085107760015534,0.14914892239984467,0.14914892239984467,,
74,7,0,-1,6170,CCALPeps,2072.8576000000003,2068.9714,0.05075799877684818,0.05075821603831737,0.14924178396168264,0.14924200122315182,,
75,7,0,-1,7404,CVE,4.419,3.8652,0.09474966495143862,0.09474966495143862,0.10525033504856136,0.10525033504856136,,
76,7,0,-1,7404,CCVE,126.7114,27.850800000000003,0.09474966495143862,0.09474966495143862,0.10525033504856136,0.10525033504856136,,
77,7,0,-1,7404,CCALPeps,1985.6671999999999,1981.859,0.09474466307003275,0.09474471957340294,0.10525528042659707,0.10525533692996725,,
78,7,0,-1,8638,CVE,4.68,4.142,0.08195999999999999,0.08195999999999999,0.11804,0.11804,,
79,7,0,-1,8638,CCVE,153.99380000000002,48.4308,0.08004,0.08375999999999999,0.11623999999999998,0.11995999999999998,,
80,7,0,-1,8638,CCALPeps,1993.9540000000002,1989.6504,0.08004499319173408,0.08377121177522237,0.11622878822477763,0.11995500680826592,,
81,7,0,-1,9872,CVE,4.5252,3.9377999999999993,0.04944097470493517,0.04944097470493517,0.15055902529506485,0.15055902529506485,,
82,7,0,-1,9872,CCVE,161.1286,38.0774,0.049440974704935164,0.049440974704935164,0.15055902529506485,0.15055902529506485,,
83,7,0,-1,9872,CCALPeps,2035.1822,2031.2696,0.049468302406737316,0.04946848099926322,0.15053151900073677,0.15053169759326268,,
84,7,0,-1,11106,CVE,4.286,3.7694,0.052541315319350614,0.052541315319350614,0.14745868468064938,0.14745868468064938,,
85,7,0,-1,11106,CCVE,185.26080000000002,84.936,0.03277490417891563,0.05535722817112056,0.14464277182887944,0.16722509582108439,,
86,7,0,-1,11106,CCALPeps,1867.4952,1863.3286,0.033878261411138796,0.05439332432273788,0.1456066756772621,0.1661217385888612,,
87,7,0,-1,12340,CVE,4.611600000000001,3.9885999999999995,0.028975265017667846,0.028975265017667846,0.17102473498233214,0.17102473498233214,,
88,7,0,-1,12340,CCVE,,,,,,,,
