,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
114,33,0,11106,6,CVE,3965.5186000000003,3964.5752,0.11539841441958723,0.11539841441958723,0.08460158558041278,0.08460158558041278
115,33,0,11106,6,CCVE,,,,,,
116,33,0,11106,6,CCALPeps,6471.3184,6413.938,0.11538666084522861,0.11632386142196097,0.08367613857803904,0.08461333915477139
117,33,0,12340,6,CVE,4424.2708,4423.3508,0.08699754873327281,0.08699754873327281,0.11300245126672717,0.11300245126672717
118,33,0,12340,6,CCVE,,,,,,
119,33,0,12340,6,CCALPeps,7117.575999999999,7054.7034,0.08691275933388712,0.08706576493911251,0.11293423506088748,0.11308724066611289
120,34,0,1234,6,CVE,,,,,,
121,34,0,1234,6,CCVE,,,,,,
122,34,0,1234,6,CCALPeps,8044.462000000001,7981.3027999999995,0.05060200525960921,0.050602234373005685,0.1493977656269943,0.14939799474039078
123,34,0,2468,6,CVE,,,,,,
124,34,0,2468,6,CCVE,,,,,,
125,34,0,2468,6,CCALPeps,7720.623800000001,7669.1288,0.1967534043633249,0.19675341601892488,0.003246583981075113,0.0032465956366751043
126,34,0,3702,6,CVE,,,,,,
127,34,0,3702,6,CCVE,,,,,,
128,34,0,3702,6,CCALPeps,,,,,,
129,34,0,4936,6,CVE,,,,,,
130,34,0,4936,6,CCVE,,,,,,
131,34,0,4936,6,CCALPeps,7236.8894,7179.170800000002,0.1020304134256493,0.10203041342564942,0.09796958657435059,0.0979695865743507
132,34,0,6170,6,CVE,,,,,,
133,34,0,6170,6,CCVE,,,,,,
134,34,0,6170,6,CCALPeps,8387.103200000001,8330.291200000001,0.12071309270026549,0.12071309377415602,0.07928690622584397,0.0792869072997345
135,34,0,7404,6,CVE,,,,,,
136,34,0,7404,6,CCVE,,,,,,
137,34,0,7404,6,CCALPeps,8482.757999999998,8423.0058,0.1061856021205261,0.10619470433911633,0.09380529566088366,0.0938143978794739
138,34,0,8638,6,CVE,,,,,,
139,34,0,8638,6,CCVE,,,,,,
140,34,0,8638,6,CCALPeps,7765.5406,7703.4406,0.16909242647689987,0.16909483162791683,0.03090516837208317,0.03090757352310013
141,34,0,9872,6,CVE,,,,,,
142,34,0,9872,6,CCVE,,,,,,
143,34,0,9872,6,CCALPeps,7451.773400000001,7390.837799999999,0.10814749240182087,0.10814749240188366,0.09185250759811633,0.09185250759817913
144,34,0,11106,6,CVE,,,,,,
145,34,0,11106,6,CCVE,,,,,,
146,34,0,11106,6,CCALPeps,8367.7584,8308.8034,0.1171739818934158,0.11767996607492659,0.08232003392507341,0.0828260181065842
147,34,0,12340,6,CVE,,,,,,
148,34,0,12340,6,CCVE,,,,,,
149,34,0,12340,6,CCALPeps,9487.8024,9429.018399999997,0.13730479529522652,0.13741493696832174,0.06258506303167827,0.06269520470477347
150,35,0,1234,6,CVE,,,,,,
151,35,0,1234,6,CCVE,,,,,,
152,35,0,1234,6,CCALPeps,7784.710800000001,7719.426600000001,0.043143724057146296,0.043143962445382024,0.156856037554618,0.1568562759428537
153,35,0,2468,6,CVE,,,,,,
154,35,0,2468,6,CCVE,,,,,,
